swings_competitive,percent_swings_competitive,contact,avg_bat_speed,hard_swing_rate,squared_up_per_bat_contact,squared_up_per_swing,blast_per_bat_contact,blast_per_swing,swing_length,swords,batter_run_value,whiffs,whiff_per_swing,batted_ball_events,batted_ball_event_per_swing,pa,k_percent,bb_percent,sweet_spot_percent,barrel_batted_rate,hard_hit_percent,avg_best_speed,avg_hyper_speed,whiff_percent,swing_percent,bat_speed_contact_ratio,squared_up_efficiency,contact_quality_composite,swing_efficiency_ratio,whiff_to_contact_ratio,power_potential_score,sweet_spot_optimization
26,0.8666666666666667,20,74.494582308,0.4230769230769231,0.35,0.2692307692307692,0.1,0.0769230769230769,7.624633077,1,-2.032527878047249,6,0.2307692307692307,12,0.4615384615384615,36,13.9,2.8,26.7,13.3,43.3,101.582881333,94.791440667,16.9,55.0,3.7247291154,0.09423076923076922,0.291025641025641,9.77025144104518,0.4999999999999999,0.44066054778818164,20.0
41,0.9318181818181818,30,74.480695122,0.4390243902439024,0.5,0.3658536585365853,0.3,0.2195121951219512,7.900252195,1,0.3560316199881861,11,0.2682926829268293,19,0.4634146341463415,696,17.2,6.9,34.9,9.3,43.2,102.442245154,95.431908015,22.3,49.3,2.4826898374,0.18292682926829265,0.41300813008130083,9.427635129058054,0.5789473684210527,0.4942659623742669,22.1
32,0.8888888888888888,22,73.664772188,0.46875,0.2272727272727272,0.15625,0.0454545454545454,0.03125,7.288963125,1,-3.0386985519316365,10,0.3125,6,0.1875,608,18.9,7.1,32.3,7.8,42.2,101.048471735,94.801005457,26.6,46.9,3.348398735818182,0.035511363636363626,0.24715909090909086,10.106344472417673,1.6666666666666667,0.4217096858200101,20.049999999999997
27,0.9642857142857144,21,73.575539259,0.2962962962962963,0.2857142857142857,0.2222222222222222,0.1428571428571428,0.1111111111111111,7.644912593,0,0.136775584721268,6,0.2222222222222222,6,0.2222222222222222,478,29.5,5.9,27.8,9.8,46.1,102.246730789,95.409578581,30.3,53.8,3.5035971075714283,0.06349206349206349,0.24162257495590825,9.624117786038367,1.0,0.415342387467328,18.8
34,0.918918918918919,26,73.203016765,0.2941176470588235,0.3846153846153846,0.2941176470588235,0.3076923076923077,0.2352941176470588,7.934286176,0,-1.9170475125782496,8,0.2352941176470588,13,0.3823529411764705,264,25.0,11.7,27.4,10.4,36.0,100.657782025,94.408622722,32.4,45.1,2.8155006448076922,0.11312217194570133,0.3288084464555053,9.2261629012611,0.6153846153846154,0.4073556428024675,18.9
47,0.903846153846154,35,73.143045532,0.3404255319148936,0.2285714285714285,0.1702127659574468,0.1428571428571428,0.1063829787234042,7.292011277,2,-1.1014764539010446,12,0.2553191489361702,17,0.3617021276595745,681,20.1,17.0,37.6,14.4,40.3,102.379849109,95.44265062,20.7,38.3,2.089801300914286,0.03890577507598783,0.2372847011144883,10.030572191063824,0.7058823529411764,0.3957968922086935,26.0
38,0.926829268292683,26,73.045039474,0.4210526315789473,0.1923076923076923,0.131578947368421,0.1538461538461538,0.1052631578947368,7.321707368,1,-2.3983389899618817,12,0.3157894736842105,11,0.2894736842105263,545,18.3,5.1,28.4,3.9,35.2,98.844654951,93.53126027,19.5,48.1,2.8094245951538466,0.025303643724696342,0.2557354925775978,9.97650353976835,1.0909090909090908,0.39684267428808156,16.15
44,0.8627450980392157,33,72.907235909,0.3181818181818182,0.2121212121212121,0.1590909090909091,0.1515151515151515,0.1136363636363636,8.119834091,1,-1.918841646042592,11,0.25,16,0.3636363636363636,546,21.8,4.0,29.5,6.3,37.8,99.609483939,93.912413392,23.4,54.8,2.209310179060606,0.033746556473829195,0.22727272727272727,8.978907092425713,0.6875000000000001,0.37779293465548613,17.9
42,0.8936170212765957,32,72.731463571,0.3333333333333333,0.375,0.2857142857142857,0.28125,0.2142857142857142,7.602652619,4,0.2842089128783036,10,0.238095238095238,17,0.4047619047619047,80,25.0,7.5,32.1,1.9,28.3,98.047333077,93.126065098,21.8,47.3,2.27285823659375,0.10714285714285714,0.3298611111111111,9.566590401517859,0.5882352941176469,0.37122489213930454,17.0
31,0.9117647058823528,27,72.666270323,0.2258064516129032,0.2222222222222222,0.1935483870967742,0.1111111111111111,0.0967741935483871,6.671846129,1,-3.1220478255879094,4,0.1290322580645161,12,0.3870967741935484,687,19.4,7.9,37.5,8.3,44.0,101.403540122,95.020540714,23.3,52.5,2.6913433452962967,0.04301075268817204,0.18637992831541217,10.891478747860674,0.33333333333333326,0.3657068558978095,22.9
36,0.9230769230769232,22,72.649967222,0.2777777777777778,0.5909090909090909,0.3611111111111111,0.3636363636363636,0.2222222222222222,7.921216667,1,2.367104292065395,14,0.3888888888888889,13,0.3611111111111111,627,24.7,8.1,38.3,6.3,29.1,96.987910197,92.506009852,24.8,43.5,3.3022712373636365,0.2133838383838384,0.41077441077441074,9.17156672720009,1.0769230769230769,0.3791749747209686,22.299999999999997
36,0.8780487804878049,30,72.557606667,0.3611111111111111,0.4333333333333333,0.3611111111111111,0.0666666666666666,0.0555555555555555,8.415369722,1,2.920996461416737,6,0.1666666666666666,18,0.5,696,14.8,9.8,32.7,9.0,39.8,99.388730155,93.900808953,18.9,48.1,2.4185868889,0.15648148148148147,0.287037037037037,8.622034332884418,0.3333333333333332,0.3711011919948666,20.85
34,0.8947368421052632,23,72.527293529,0.2941176470588235,0.2608695652173913,0.1764705882352941,0.1739130434782608,0.1176470588235294,7.276859412,0,-1.514505109423889,11,0.3235294117647059,11,0.3235294117647059,659,20.9,10.9,31.9,9.7,49.9,102.978294744,96.137674,24.4,40.3,3.1533605882173914,0.04603580562659846,0.2429667519181585,9.966840009221276,1.0,0.4224855454478533,20.799999999999997
34,0.8947368421052632,24,72.392974118,0.2941176470588236,0.375,0.2647058823529412,0.125,0.088235294117647,7.185626176,1,1.680122908554363,10,0.2941176470588235,10,0.2941176470588235,447,20.8,9.4,30.1,3.9,37.5,100.710173289,94.425905066,20.9,43.3,3.0163739215833334,0.09926470588235295,0.2647058823529412,10.074692496499834,1.0,0.3555537188725196,17.0
41,0.9761904761904762,29,72.35598561,0.2926829268292683,0.2068965517241379,0.1463414634146341,0.1379310344827586,0.0975609756097561,7.268247073,0,1.3041829888443544,12,0.2926829268292683,11,0.2682926829268293,348,25.6,10.3,37.2,10.1,39.0,100.387976038,94.397521038,23.5,44.0,2.495033986551724,0.03027754415475188,0.21250350434538826,9.955080624431051,1.0909090909090908,0.3642008020623577,23.650000000000002
35,0.8974358974358975,28,72.125123429,0.2285714285714286,0.3214285714285714,0.2571428571428571,0.1071428571428571,0.0857142857142857,7.464022571,1,-0.1871452610448024,7,0.2,14,0.4,719,17.1,8.1,28.0,5.3,32.7,99.219483664,93.661598721,20.0,45.4,2.5758972653214287,0.08265306122448977,0.21904761904761905,9.66303661905151,0.5,0.3091403511120127,16.65
34,0.918918918918919,27,72.102405588,0.088235294117647,0.3703703703703703,0.2941176470588235,0.1481481481481481,0.1176470588235294,7.794826765,1,-1.199904061975619,7,0.2058823529411764,13,0.3823529411764705,704,21.3,15.6,33.0,7.8,42.6,101.29233537,94.885125731,22.9,38.4,2.6704594662222223,0.10893246187363831,0.20225127087872183,9.250033100382828,0.5384615384615384,0.32371408644912364,20.4
34,0.8947368421052632,24,71.938872353,0.2352941176470588,0.3333333333333333,0.2352941176470588,0.1666666666666666,0.1176470588235294,7.171403529,3,-2.554515082859808,10,0.2941176470588235,14,0.4117647058823529,133,18.0,15.0,28.1,3.4,27.0,95.897580698,91.995797176,21.2,35.7,2.997453014708333,0.07843137254901959,0.24509803921568626,10.031351891173156,0.7142857142857142,0.2987437826840367,15.75
51,0.8793103448275862,36,70.749045882,0.1764705882352941,0.1388888888888889,0.0980392156862745,0.0555555555555555,0.0392156862745098,7.137329804,2,-5.0939215519628185,15,0.2941176470588235,11,0.2156862745098039,133,18.0,15.0,28.1,3.4,27.0,95.897580698,91.995797176,21.2,35.7,1.9652512745000001,0.013616557734204792,0.12363834422657949,9.91253701662348,1.3636363636363635,0.23695730961846154,15.75
37,0.8809523809523809,30,71.785057838,0.2702702702702703,0.2666666666666666,0.2162162162162162,0.1,0.081081081081081,6.877442973,1,-2.7632113328278605,7,0.1891891891891892,13,0.3513513513513513,183,38.8,10.9,36.0,15.7,49.4,102.538781591,95.820674205,36.4,41.6,2.392835261266667,0.05765765765765764,0.2123123123123123,10.437753990810155,0.5384615384615385,0.3840889716659071,25.85
71,0.9342105263157896,45,71.708112676,0.2253521126760563,0.2,0.1267605633802817,0.1333333333333333,0.0845070422535211,7.958661408,1,-2.235019035878678,26,0.3661971830985915,19,0.2676056338028169,112,25.0,9.8,30.1,4.1,27.4,98.126353611,93.175236389,31.0,42.6,1.5935136150222222,0.02535211267605634,0.18622848200312989,9.010072046025154,1.368421052631579,0.28590272932996696,17.1
37,0.902439024390244,32,71.629490811,0.0810810810810811,0.53125,0.4594594594594595,0.28125,0.2432432432432432,7.024977568,1,-2.1502033978401265,5,0.1351351351351351,19,0.5135135135135135,217,24.0,6.9,40.0,6.7,36.0,98.337028514,93.268980811,26.7,46.6,2.23842158784375,0.24408783783783786,0.2978603603603604,10.196401357533844,0.26315789473684204,0.31977692610168196,23.35
