id,name,swings_competitive,percent_swings_competitive,contact,avg_bat_speed,hard_swing_rate,squared_up_per_bat_contact,squared_up_per_swing,blast_per_bat_contact,blast_per_swing,swing_length,swords,batter_run_value,whiffs,whiff_per_swing,batted_ball_events,batted_ball_event_per_swing,"last_name, first_name",player_id,year,pa,bip,ba,est_ba,est_ba_minus_ba_diff,slg,est_slg,est_slg_minus_slg_diff,woba,est_woba,est_woba_minus_woba_diff
682928,"Abrams, CJ",34,0.8947368421052632,24,74.825389412,0.4411764705882353,0.2916666666666667,0.2058823529411764,0.1666666666666666,0.1176470588235294,7.803046176,0,0.917743827467964,10,0.2941176470588235,13,0.3823529411764705,"Abrams, CJ",682928,2025,22,14,0.286,0.31,-0.024,0.524,0.571,-0.0469999999999999,0.359,0.388,-0.029
686948,"Baldwin, Drake",36,0.9,29,74.810693889,0.4722222222222222,0.3448275862068966,0.2777777777777778,0.2413793103448276,0.1944444444444444,7.044126111,0,-4.518067564296779,7,0.1944444444444444,14,0.3888888888888889,"Baldwin, Drake",686948,2025,20,14,0.056,0.242,-0.186,0.056,0.614,-0.5579999999999999,0.114,0.39,-0.276
592518,"Machado, Manny",33,0.9166666666666666,24,74.810675758,0.4848484848484848,0.5,0.3636363636363636,0.2916666666666667,0.2121212121212121,7.932789091,1,-0.1042780624809047,9,0.2727272727272727,16,0.4848484848484848,"Machado, Manny",592518,2025,23,19,0.381,0.334,0.0469999999999999,0.524,0.45,0.074,0.416,0.373,0.0429999999999999
677594,"Rodríguez, Julio",40,0.9523809523809524,20,74.66903,0.4,0.4,0.2,0.2,0.1,7.77384025,1,-0.6950199902026899,20,0.5,11,0.275,"Rodríguez, Julio",677594,2025,25,11,0.211,0.181,0.03,0.474,0.413,0.061,0.385,0.358,0.027
572233,"Walker, Christian",33,0.8918918918918919,20,74.658616364,0.3333333333333333,0.45,0.2727272727272727,0.25,0.1515151515151515,7.625953636,0,-2.846151131172262,13,0.3939393939393939,10,0.303030303030303,"Walker, Christian",572233,2025,20,14,0.15,0.315,-0.165,0.15,0.39,-0.24,0.133,0.306,-0.173
592669,"Renfroe, Hunter",21,0.9130434782608696,19,74.486251905,0.3809523809523809,0.3684210526315789,0.3333333333333333,0.1052631578947368,0.0952380952380952,7.602073333,0,-1.6004396589595569,2,0.0952380952380952,12,0.5714285714285714,"Renfroe, Hunter",592669,2025,17,12,0.143,0.168,-0.025,0.214,0.235,-0.0209999999999999,0.248,0.265,-0.017
641857,"McMahon, Ryan",31,0.96875,22,74.416930968,0.4838709677419354,0.2727272727272727,0.1935483870967742,0.1363636363636363,0.0967741935483871,7.471655161,0,-2.0882806726319143,9,0.2903225806451613,8,0.2580645161290322,"McMahon, Ryan",641857,2025,16,9,0.267,0.184,0.083,0.333,0.276,0.0569999999999999,0.288,0.227,0.0609999999999999
663728,"Raleigh, Cal",40,0.9090909090909092,27,74.415378,0.475,0.2592592592592592,0.175,0.1481481481481481,0.1,7.789302,1,-2.9771718049281617,13,0.325,13,0.325,"Raleigh, Cal",663728,2025,24,14,0.1,0.162,-0.062,0.25,0.322,-0.072,0.237,0.286,-0.0489999999999999
657757,"Sheets, Gavin",25,0.8928571428571429,22,74.4022704,0.44,0.4545454545454545,0.4,0.2272727272727272,0.2,7.7937188,1,2.53857992241375,3,0.12,12,0.48,"Sheets, Gavin",657757,2025,15,12,0.5,0.384,0.1159999999999999,0.857,0.588,0.269,0.585,0.435,0.1499999999999999
665487,"Tatis Jr., Fernando",39,0.8863636363636364,30,74.362550513,0.4871794871794871,0.3333333333333333,0.2564102564102564,0.2333333333333333,0.1794871794871795,7.275708205,0,0.0940899844536658,9,0.2307692307692307,17,0.4358974358974359,"Tatis Jr., Fernando",665487,2025,27,22,0.409,0.399,0.0099999999999999,0.591,0.719,-0.128,0.454,0.523,-0.069
657136,"Wong, Connor",32,0.8888888888888888,24,74.321373438,0.40625,0.2083333333333333,0.15625,0.1666666666666666,0.125,7.47137875,1,-2.3827497242675704,8,0.25,11,0.34375,"Wong, Connor",657136,2025,17,11,0.063,0.304,-0.241,0.063,0.536,-0.473,0.093,0.379,-0.286
671218,"Ramos, Heliot",57,0.9047619047619048,48,74.321304912,0.456140350877193,0.1875,0.1578947368421052,0.1041666666666666,0.087719298245614,6.775610702,1,2.698003629960461,9,0.1578947368421052,14,0.2456140350877192,"Ramos, Heliot",671218,2025,21,14,0.286,0.234,0.0519999999999999,0.81,0.438,0.372,0.453,0.284,0.169
621566,"Olson, Matt",37,0.925,30,74.269426486,0.5135135135135136,0.3,0.2432432432432432,0.1666666666666666,0.1351351351351351,7.542288108,1,-2.829426187375593,7,0.1891891891891892,11,0.2972972972972973,"Olson, Matt",621566,2025,24,13,0.167,0.231,-0.064,0.278,0.677,-0.399,0.315,0.454,-0.139
671732,"Butler, Lawrence",38,0.9047619047619048,28,74.24485,0.4473684210526316,0.3928571428571428,0.2894736842105263,0.2142857142857142,0.1578947368421052,6.749559474,0,-2.596766239614248,10,0.2631578947368421,18,0.4736842105263157,"Butler, Lawrence",671732,2025,25,20,0.182,0.242,-0.06,0.273,0.387,-0.1139999999999999,0.254,0.32,-0.066
669065,"Stowers, Kyle",42,0.8936170212765957,28,74.152185476,0.4761904761904761,0.25,0.1666666666666666,0.25,0.1666666666666666,6.486697143,3,-0.7595830560699613,14,0.3333333333333333,10,0.238095238095238,"Stowers, Kyle",669065,2025,20,10,0.313,0.29,0.023,0.5,0.572,-0.0719999999999999,0.419,0.432,-0.013
692225,"Campbell, Kristian",31,0.8611111111111112,22,74.141970968,0.4516129032258064,0.2727272727272727,0.1935483870967742,0.1818181818181818,0.1290322580645161,6.816216452,0,1.6321339386114428,9,0.2903225806451613,10,0.3225806451612903,"Campbell, Kristian",692225,2025,20,11,0.375,0.253,0.122,0.688,0.45,0.2379999999999999,0.499,0.377,0.122
663457,"Nootbaar, Lars",37,0.902439024390244,30,74.125795676,0.4864864864864865,0.3666666666666666,0.2972972972972973,0.2333333333333333,0.1891891891891892,7.007255135,0,2.5465771749679416,7,0.1891891891891892,14,0.3783783783783784,"Nootbaar, Lars",663457,2025,25,16,0.421,0.452,-0.031,0.737,0.749,-0.012,0.543,0.557,-0.014
650490,"Díaz, Yandy",37,0.902439024390244,35,74.09225027,0.4324324324324324,0.4285714285714285,0.4054054054054054,0.2571428571428571,0.2432432432432432,7.569403243,0,-3.781370324682309,2,0.054054054054054,21,0.5675675675675675,"Díaz, Yandy",650490,2025,24,23,0.136,0.304,-0.1679999999999999,0.182,0.478,-0.296,0.155,0.364,-0.209
