id,name,swings_competitive,percent_swings_competitive,contact,avg_bat_speed,hard_swing_rate,squared_up_per_bat_contact,squared_up_per_swing,blast_per_bat_contact,blast_per_swing,swing_length,swords,batter_run_value,whiffs,whiff_per_swing,batted_ball_events,batted_ball_event_per_swing,season,"last_name, first_name",player_id,year,pa,k_percent,bb_percent,woba,xwoba,xwobacon,sweet_spot_percent,barrel_batted_rate,hard_hit_percent,avg_best_speed,avg_hyper_speed,whiff_percent,swing_percent
682928,"Abrams, CJ",43,0.8958333333333334,32,73.990087442,0.3488372093023255,0.28125,0.2093023255813953,0.1875,0.1395348837209302,7.741738837,1,1.335490807629345,11,0.2558139534883721,16,0.3720930232558139,2025,"Abrams, CJ",682928,2025,26,26.9,3.8,0.385,0.421,0.57,27.8,16.7,44.4,103.392406667,96.07995,24.5,48.5
694671,"Langford, Wyatt",43,0.9347826086956522,35,73.946899767,0.4651162790697674,0.4,0.3255813953488372,0.1714285714285714,0.1395348837209302,7.179412326,0,0.5964457017716343,8,0.1860465116279069,21,0.4883720930232558,2025,"Langford, Wyatt",694671,2025,28,14.3,7.1,0.355,0.341,0.371,31.8,9.1,50.0,100.808012727,95.259945,19.6,50.5
650490,"Díaz, Yandy",43,0.8958333333333334,39,73.869368837,0.3953488372093023,0.4358974358974359,0.3953488372093023,0.282051282051282,0.2558139534883721,7.567772791,0,-4.102503054353134,4,0.0930232558139534,24,0.5581395348837209,2025,"Díaz, Yandy",650490,2025,28,3.6,3.6,0.165,0.33,0.328,19.2,7.7,50.0,104.855686923,97.165963462,10.2,49.5
668227,"Arozarena, Randy",54,0.8852459016393442,34,73.785635556,0.4444444444444444,0.2647058823529412,0.1666666666666666,0.2058823529411764,0.1296296296296296,7.418671667,2,-0.688835081996675,20,0.3703703703703703,12,0.2222222222222222,2025,"Arozarena, Randy",668227,2025,28,28.6,17.9,0.361,0.481,0.669,46.7,20.0,60.0,105.33194375,97.958138,38.1,48.5
677951,"Witt Jr., Bobby",49,0.9074074074074074,37,73.774758776,0.4285714285714285,0.2972972972972973,0.2244897959183673,0.1621621621621621,0.1224489795918367,6.980595102,1,-2.325677820664452,12,0.2448979591836734,15,0.3061224489795918,2025,"Witt Jr., Bobby",677951,2025,28,21.4,7.1,0.277,0.356,0.44,42.1,5.3,57.9,102.521077778,96.910141765,24.6,53.3
694192,"Chourio, Jackson",61,0.9104477611940298,46,73.696862787,0.4426229508196721,0.2826086956521739,0.2131147540983606,0.1739130434782608,0.1311475409836065,7.517005082,0,0.1342264942936577,15,0.2459016393442623,16,0.2622950819672131,2025,"Chourio, Jackson",694192,2025,28,42.9,0.0,0.336,0.3,0.525,31.3,12.5,62.5,103.205125,98.300108125,29.4,55.7
542303,"Ozuna, Marcell",32,0.8888888888888888,22,73.664772188,0.46875,0.2272727272727272,0.15625,0.0454545454545454,0.03125,7.288963125,1,-3.0386985519316365,10,0.3125,6,0.1875,2025,"Ozuna, Marcell",542303,2025,29,24.1,44.8,0.401,0.388,0.252,22.2,0.0,33.3,99.489142,95.114074444,31.6,27.3
680776,"Duran, Jarren",42,0.8936170212765957,33,73.53196619,0.3333333333333333,0.4242424242424242,0.3333333333333333,0.303030303030303,0.238095238095238,7.395161667,1,-1.571931279978883,9,0.2142857142857142,20,0.4761904761904761,2025,"Duran, Jarren",680776,2025,28,21.4,3.6,0.279,0.334,0.397,45.0,10.0,65.0,102.810047,97.138472,25.5,53.4
691016,"Soderstrom, Tyler",42,0.8936170212765957,30,73.328277381,0.3095238095238095,0.3333333333333333,0.238095238095238,0.2666666666666666,0.1904761904761904,7.586449762,2,-0.8479654581018476,12,0.2857142857142857,15,0.3571428571428571,2025,"Soderstrom, Tyler",691016,2025,28,28.6,3.6,0.418,0.342,0.468,36.8,15.8,57.9,105.004501,97.713206842,30.6,45.8
545361,"Trout, Mike",47,0.903846153846154,35,73.143045532,0.3404255319148936,0.2285714285714285,0.1702127659574468,0.1428571428571428,0.1063829787234042,7.292011277,2,-1.1014764539010446,12,0.2553191489361702,17,0.3617021276595745,2025,"Trout, Mike",545361,2025,26,19.2,7.7,0.225,0.391,0.464,50.0,11.1,33.3,99.828194444,93.914097222,28.3,49.5
673548,"Suzuki, Seiya",75,0.9036144578313252,56,73.087359467,0.36,0.2678571428571428,0.2,0.1607142857142857,0.12,7.333458133,1,0.8207642021125598,19,0.2533333333333333,23,0.3066666666666666,2025,"Suzuki, Seiya",673548,2025,45,37.8,8.9,0.4,0.348,0.538,50.0,20.8,54.2,104.524203333,96.8577775,27.4,42.2
691718,"Crow-Armstrong, Pete",70,0.9090909090909092,51,72.965681714,0.2857142857142857,0.3333333333333333,0.2428571428571428,0.0980392156862745,0.0714285714285714,7.351782429,0,-4.101599573277184,19,0.2714285714285714,22,0.3142857142857143,2025,"Crow-Armstrong, Pete",691718,2025,39,23.1,7.7,0.259,0.287,0.325,38.5,0.0,38.5,97.654723846,93.3757336,26.8,62.1
